PM2.5,AQI
28,78
19,58
21,50
23,51
32,73
53,141
32,72
25,50
22,51
36,79
41,92
28,68
21,54
22,54
26,62
29,63
29,61
39,90
32,77
31,73
29,73
34,82
32,77
89,141
50,122
42,104
24,42
16,31
20,41
46,118
37,82
26,61
29,65
59,121
68,141
50,98
30,53
31,64
29,65
91,141
77,130
38,60
26,54
27,52
24,46
23,53
21,56
24,61
90,141
34,76
39,75
29,53
45,88
26,51
32,74
26,47
27,41
29,50
23,47
22,56
21,42
26,56
29,62
23,50
23,56
22,52
19,48
17,33
21,47
25,58
21,55
40,86
22,50
24,56
22,59
18,50
23,45
20,41
24,57
19,44
25,56
30,64
20,46
17,44
25,56
25,54
20,52
18,63
18,62
17,56
19,54
18,44
16,40
17,39
34,64
16,39
14,48
14,46
16,38
18,37
17,36
17,45
19,54
22,57
19,48
17,45
19,61
18,45
19,50
24,72
35,83
45,88
26,50
24,48
20,38
21,46
23,52
18,41
18,29
12,29
14,35
18,38
17,35
19,54
20,48
15,35
18,46
18,48
15,40
32,70
15,39
20,59
16,52
15,39
17,40
17,32
20,35
18,35
15,31
19,43
16,44
19,44
19,45
23,47
20,39
19,38
19,41
19,46
17,35
22,43
21,54
22,48
22,47
23,60
19,49
23,41
19,40
22,43
17,32
15,31
13,32
11,22
25,45
21,48
24,45
26,53
21,48
19,42
18,35
19,45
22,50
24,55
24,55
19,43
23,54
25,63
26,66
23,51
22,45
15,35
19,41
24,42
22,44
24,49
19,41
17,41
22,55
26,68
23,60
22,52
27,59
24,51
30,60
27,57
28,65
31,66
25,55
24,60
23,55
29,66
28,43
30,53
26,53
27,63
26,62
29,64
30,57
25,45
25,48
44,92
37,70
32,65
34,67
41,72
37,65
43,62
41,67
34,63
40,67
45,65
36,52
28,44
29,42
19,30
33,60
35,59
29,57
37,58
33,58
27,57
28,49
35,55
43,61
37,57
44,63
54,76
56,82
26,55
29,51
41,61
44,66
50,69
56,78
45,66
36,92
51,90
52,89
36,78
50,79
58,81
48,74
35,73
46,78
58,141
34,105
28,90
30,79
44,87
58,95
60,129
66,131
69,116
79,111
74,102
55,90
67,96
40,80
60,133
72,141
65,134
53,94
57,109
27,58
48,128
66,101
68,98
59,119
67,107
63,88
74,99
76,141
28,61
45,71
38,59
57,79
55,77
74,99
91,122
79,106
57,80
73,98
78,104
82,141
75,141
74,109
66,94
76,102
89,118
81,115
91,141
91,141
29,78
38,78
48,96
53,99
70,102
74,100
62,87
88,115
91,141
39,85
40,80
48,80
32,79
45,98
54,93
64,95
82,110
69,97
34,61
45,78
49,79
52,77
64,88
45,71
56,80
48,68
63,85
74,100
66,101
32,71
29,55
57,78
91,123
91,123
91,123
34,58
48,74
66,89
65,88
44,64
43,66
48,107
48,86
48,67
44,65
33,77
32,63
32,63
41,66
37,61
46,72
44,70
39,69
51,80
51,80
46,78
64,141
30,81
43,93
40,76
43,105
43,109
51,118
54,110
50,105
35,67
48,91
91,141
91,141
50,111
37,76
46,90
38,75
38,68
36,67
32,63
26,53
33,58
33,70
58,125
31,56
42,60
60,105
61,125
53,100
52,93
51,98
78,141
85,141
67,136
45,111
21,39
31,63
36,78
44,96
45,93
91,141
91,141
70,132
46,73
28,41
36,51
31,52
39,75
39,75
31,64
31,63
34,68
33,61
35,69
33,62
45,98
35,59
34,56
26,39
21,33
24,35
30,58
30,60
29,61
25,58
33,67
31,71
39,72
28,50
26,62
30,77
91,141
48,97
26,48
24,52
50,102
31,61
29,49
26,51
30,58
38,77
64,114
38,63
41,77
25,42
19,32
18,32
22,45
28,49
25,46
25,55
22,50
24,54
27,56
23,38
23,55
22,57
22,45
19,38
21,42
48,70
35,66
28,55
22,53
19,48
24,50
25,52
20,47
63,120
30,55
31,59
30,61
24,55
31,60
43,77
18,39
20,48
21,50
18,56
23,59
23,58
21,58
22,50
29,54
24,42
17,27
20,39
20,53
22,61
22,56
19,49
19,46
20,46
18,50
20,57
21,58
19,50
22,64
25,60
26,41
24,47
17,51
13,35
13,36
16,33
21,47
20,43
27,50
30,57
21,38
20,42
14,30
15,29
25,48
20,37
21,52
22,63
16,42
17,37
91,141
40,77
27,54
27,52
26,57
27,58
25,51
21,41
26,55
22,37
19,36
21,39
24,46
17,39
