PM2.5,PM10
20,29.0
25,52.0
28,66.0
26,49.0
31,52.0
39,80.0
35,53.0
18,40.0
27,61.0
20,46.0
23,43.0
21,57.0
21,60.0
19,64.0
20,44.0
27,59.0
24,55.0
23,55.0
21,41.0
24,62.0
16,24.0
22,36.0
16,33.0
18,31.0
21,42.0
27,65.0
28,75.0
28,82.0
25,68.0
17,41.0
16,30.0
17,36.0
24,54.0
28,77.0
30,81.0
27,77.0
25,59.0
26,66.0
33,74.0
30,68.0
23,61.0
20,64.0
26,64.0
24,45.0
26,77.0
29,82.0
32,86.0
35,77.0
35,66.0
36,64.0
38,74.0
32,68.0
24,45.0
25,46.0
17,24.0
28,45.0
36,88.0
55,182.0
54,157.0
44,107.0
25,86.0
37,111.0
43,109.0
38,90.0
41,103.0
39,107.0
43,115.0
50,119.0
47,94.0
23,64.0
24,37.0
26,38.0
34,48.0
34,51.0
48,91.0
52,104.0
29,70.0
65,129.0
79,146.0
78,140.0
36,111.0
23,49.0
26,52.0
40,66.0
45,80.0
53,103.0
38,78.0
30,73.0
59,124.0
56,116.0
57,115.0
74,140.0
91,214.5
91,214.5
91,214.5
80,214.5
54,145.0
56,126.0
75,214.5
62,214.5
44,164.0
42,148.0
26,88.0
29,71.0
29,70.0
48,89.0
45,86.0
42,125.0
66,143.0
74,144.0
61,112.0
56,104.0
68,122.0
77,141.0
82,145.0
72,131.0
50,100.0
31,78.0
27,77.0
48,91.0
69,106.0
65,100.0
82,118.0
91,137.0
52,81.0
52,91.0
68,115.0
59,100.0
31,71.0
39,83.0
55,100.0
40,88.0
77,137.0
58,133.0
61,120.0
35,72.0
21,49.0
37,71.0
46,87.0
26,61.0
34,74.0
27,54.0
52,82.0
58,98.0
54,96.0
44,82.0
42,82.0
38,81.0
23,52.0
30,62.0
29,57.0
25,65.0
30,84.0
53,121.0
29,102.0
25,71.0
38,86.0
40,82.0
24,51.0
23,75.0
31,125.0
24,74.0
30,83.0
38,93.0
37,101.0
45,132.0
35,174.0
31,108.0
31,80.0
31,64.0
37,70.0
55,108.0
39,77.0
34,66.0
45,79.0
42,78.0
38,62.0
38,72.0
43,88.0
37,60.0
38,60.0
34,54.0
39,68.0
43,79.0
37,76.0
37,73.0
40,77.0
31,53.0
27,57.0
34,70.0
27,74.0
22,64.0
29,83.0
24,61.0
34,76.0
33,81.0
34,85.0
32,70.0
38,86.0
31,85.0
33,133.0
30,116.0
28,89.0
33,94.0
33,99.0
36,109.0
39,119.0
46,175.0
55,214.5
29,116.0
31,109.0
32,92.0
36,121.0
24,72.0
32,89.0
28,81.0
31,95.0
42,164.0
38,141.0
28,84.0
18,40.0
16,46.0
19,59.0
21,55.0
22,46.0
24,58.0
25,67.0
31,81.0
30,90.0
23,68.0
37,123.0
35,92.0
30,83.0
27,80.0
27,70.0
36,142.0
31,94.0
37,122.0
37,84.0
29,62.0
23,55.0
17,39.0
25,65.0
23,62.0
18,41.0
22,56.0
18,36.0
14,29.0
13,26.0
15,30.0
16,37.0
19,43.0
19,42.0
91,214.5
91,214.5
28,81.0
49,168.0
32,106.0
25,75.0
36,123.0
36,120.0
25,84.0
23,76.0
21,71.0
23,68.0
20,61.0
37,122.0
28,99.0
17,37.0
22,53.0
20,52.0
16,47.0
25,72.0
26,71.0
19,56.0
16,47.0
21,55.0
18,42.0
18,48.0
21,57.0
20,53.0
17,47.0
19,47.0
19,43.0
34,61.0
21,48.0
22,60.0
21,54.0
15,31.0
13,33.0
16,46.0
13,35.0
10,23.0
13,36.0
22,70.0
17,51.0
22,63.0
18,54.0
20,50.0
16,41.0
